variant,task,model,seed,peft,peft_type,type,metric_key,metric_value,trainable_params_count,train_time,avg_memory_allocated_mb,max_memory_allocated_mb,avg_memory_reserved_mb,max_memory_reserved_mb,train_samples_per_second,train_steps_per_second,total_flos,rank,lora_alpha,lora_dropout,lora_ranks,model_family,file
fft,cola,bert,123,lora,lora,0,eval_matthews_correlation,0.5812018675459495,109.483778,153.8371,1787.917824,1787.917824,9250.537472,9250.537472,166.754,2.613,6769321577545728.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_cola_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,bert,2024,lora,lora,0,eval_matthews_correlation,0.5525485959926528,109.483778,91.8323,1787.425792,1787.425792,3934.257152,3934.257152,279.346,4.378,1692330394386432.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/fft/task_cola_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,cola,bert,42,lora,lora,0,eval_matthews_correlation,0.5520922661403441,109.483778,79.1428,1798.833664,1798.833664,9240.051712,9240.051712,324.136,5.079,6769321577545728.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_cola_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,bert,123,lora,lora,0,matched_accuracy,0.8327050433010698,109.484547,3278.8582,1792.732672,1792.732672,9256.828928,9256.828928,359.304,5.614,3.0997708406154854e+17,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_mnli_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,bert,2024,lora,lora,0,matched_accuracy,0.8328069281711665,109.484547,6471.793,1791.1377920000002,1791.137792,9240.051712,9240.051712,182.037,2.844,3.0997708406154854e+17,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_mnli_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mnli,bert,42,lora,lora,0,matched_accuracy,0.8329088130412634,109.484547,3308.7803,1787.091968,1787.091968,9313.452032,9313.452032,356.054,5.563,3.0997708406154854e+17,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_mnli_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mrpc,bert,123,lora,lora,0,eval_accuracy,0.8725490196078431,109.483778,39.8742,1795.885056,1795.885056,9240.051712,9240.051712,275.968,4.364,2930004744732672.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_mrpc_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mrpc,bert,2024,lora,lora,0,eval_accuracy,0.8700980392156863,109.483778,64.7881,1787.917824,1787.917824,9250.537472,9250.537472,169.846,2.686,2930004744732672.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_mrpc_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,mrpc,bert,42,lora,lora,0,eval_accuracy,0.8284313725490197,109.483778,45.3625,1792.363008,1792.363008,9256.828928,9256.828928,242.579,3.836,2930004744732672.0,8,16,0.05,,bert,results/fft/task_mrpc_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qnli,bert,123,lora,lora,0,eval_accuracy,0.9073768991396669,109.483778,904.831,1789.8368,1789.8368,9279.8976,9279.8976,347.279,5.428,8.269685939031245e+16,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_qnli_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qnli,bert,2024,lora,lora,0,eval_accuracy,0.9073768991396669,109.483778,1788.3454,1783.780864,1783.780864,9235.857408,9235.857408,175.709,2.746,8.269685939031245e+16,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_qnli_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qnli,bert,42,lora,lora,0,eval_accuracy,0.90536335346879,109.483778,1002.4413,1785.106944,1785.106944,9244.246016,9244.246016,313.464,4.899,8.269685939031245e+16,8,16,0.05,,bert,results/fft/task_qnli_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,bert,123,lora,lora,0,eval_accuracy,0.9093494929507792,109.483778,3143.41,1789.050368,1789.050368,9240.051712,9240.051712,347.246,5.427,2.872414942915461e+17,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_qqp_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,bert,2024,lora,lora,0,eval_accuracy,0.9110561464259214,109.483778,6099.4466,1786.428928,1786.428928,9248.44032,9248.44032,178.957,2.797,2.872414942915461e+17,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_qqp_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,bert,42,lora,lora,0,eval_accuracy,0.90972050457581,109.483778,3481.241,1783.927296,1783.927296,9248.44032,9248.44032,313.549,4.9,2.872414942915461e+17,8,16,0.05,,bert,results/fft/task_qqp_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,bert,123,lora,lora,0,eval_accuracy,0.6498194945848376,109.483778,27.8744,1787.65568,1787.65568,9250.537472,9250.537472,267.988,4.197,1970175586861056.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_rte_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,bert,2024,lora,lora,0,eval_accuracy,0.631768953068592,109.483778,52.0569,1793.345536,1793.345536,9240.051712,9240.051712,143.497,2.248,1970175586861056.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_rte_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,bert,42,lora,lora,0,eval_accuracy,0.5812274368231047,109.483778,31.3745,1797.636096,1797.636096,9269.41184,9269.41184,238.091,3.729,1970175586861056.0,8,16,0.05,,bert,results/fft/task_rte_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
