,FFT,adalora,dora,lora,mrlora,olora,rslora
cola,0.6579428501083803,0.1001983630851316,0.4506619722150307,0.45356781340354196,0.5544735040391463,0.4691045276344325,0.5066390732421491
sst2,0.9568042813455658,0.9216360856269112,0.9342507645259938,0.9357798165137615,0.9384556574923547,0.9327217125382262,0.9350152905198778
mrpc,0.8921568627450981,0.6838235294117647,0.6838235294117647,0.6838235294117647,0.6838235294117647,0.6838235294117647,0.6838235294117647
qqp,0.922277186907412,0.8722977986643582,0.8785802621815484,0.8800148404650012,0.8980707395498392,0.8858026218154835,0.879940638139995
stsb,0.9035594680738638,0.8181875304632904,0.7809808466085383,0.8491880766438389,0.8632664453069752,0.8504586145918854,0.7911979532747727
qnli,0.93709195191897,0.8822991030569284,0.9077429983525536,0.9068277503203368,0.9112209408749771,0.9013362621270364,0.9137836353651839
rte,0.7978339350180504,0.5270758122743683,0.5270758122743683,0.5270758122743683,0.5270758122743683,0.5270758122743683,0.5270758122743683
wnli,0.5539906103286385,0.5633802816901409,0.5633802816901409,0.5633802816901409,0.5633802816901409,0.5633802816901409,0.5633802816901409
mnli_m,0.8932246561385634,0.842282221090168,0.8542706741382239,0.8542367125148581,0.8707760230939039,0.856783834267278,0.8583800305654611
mnli_mm,0.8958163818822892,0.8493694060211553,0.8558448603200434,0.854759967453214,0.8655410903173312,0.85784513154326,0.8590656360184431
Average,0.8410698184466829,0.7060550131384218,0.7436612001718206,0.7508654600690826,0.7676084024050801,0.7528332327893875,0.7518301880502156
